Sample,samp_date,E/O,Block,Species,Length,Weight (g),N
PAP20200630-03,30.06.2020,Off,2,Arius felis,137,19.5,1
PAP20200630-03,30.06.2020,Off,2,Arius felis,148,25.4,1
PAP20200630-03,30.06.2020,Off,2,Arius felis,129,16,1
PAP20200630-03,30.06.2020,Off,2,Arius felis,161,32.4,1
PAP20200630-03,30.06.2020,Off,2,Arius felis,142,22.4,1
PAP20200630-03,30.06.2020,Off,2,Arius felis,135,19.2,1
PAP20200630-03,30.06.2020,Off,2,Arius felis,145,22.5,1
PAP20200630-05,30.06.2020,Off,3,Arius felis,193,57.6,1
PAP20200630-07,30.06.2020,Edge,4,Arius felis,149,25.2,1
PAP20200708-01,08.07.2020,Edge,2,Arius felis,81,4,1
PAP20200708-02,08.07.2020,Off,2,Arius felis,145,23.1,1
PAP20200708-02,08.07.2020,Off,2,Arius felis,132,18.7,1
PAP20200708-02,08.07.2020,Off,2,Arius felis,150,21.6,1
PAP20200708-02,08.07.2020,Off,2,Arius felis,140,23.4,1
PAP20200708-02,08.07.2020,Off,2,Arius felis,140,20.5,1
PAP20200708-02,08.07.2020,Off,2,Arius felis,137,20,1
PAP20200708-02,08.07.2020,Off,2,Arius felis,139,20.6,1
PAP20200708-02,08.07.2020,Off,2,Arius felis,148,25.6,1
PAP20200708-04,08.07.2020,Off,3,Arius felis,145,24,1
PAP20200708-05,08.07.2020,Edge,4,Arius felis,153,28.8,1
PAP20200708-05,08.07.2020,Edge,4,Arius felis,169,35,1
PAP20200708-06,08.07.2020,Off,4,Arius felis,139,21.6,1
PAP20200708-06,08.07.2020,Off,4,Arius felis,142,21.9,1
PAP20200708-06,08.07.2020,Off,4,Arius felis,142,21.4,1
PAP20200708-06,08.07.2020,Off,4,Arius felis,152,27.8,1
PAP20200708-10,08.07.2020,Off,1,Arius felis,142,20.6,1
PAP20200708-10,08.07.2020,Off,1,Arius felis,168,34.4,1
PAP20200708-10,08.07.2020,Off,1,Arius felis,155,27.2,1
