Sample,samp_date,E.O,Block,Species,Length,Weight,N
PAP20200630-01,30.06.2020,Edge,1,Bairdiella chrysoura,33,0.4,1
PAP20200630-01,30.06.2020,Edge,1,Bairdiella chrysoura,38,0.6,1
PAP20200630-01,30.06.2020,Edge,1,Bairdiella chrysoura,34,0.4,1
PAP20200630-01,30.06.2020,Edge,1,Bairdiella chrysoura,38,0.7,1
PAP20200630-01,30.06.2020,Edge,1,Bairdiella chrysoura,41,0.8,1
PAP20200630-01,30.06.2020,Edge,1,Bairdiella chrysoura,41,0.8,1
PAP20200630-01,30.06.2020,Edge,1,Bairdiella chrysoura,35,0.5,1
PAP20200630-01,30.06.2020,Edge,1,Bairdiella chrysoura,42,0.8,1
PAP20200630-01,30.06.2020,Edge,1,Bairdiella chrysoura,40,0.8,1
PAP20200630-01,30.06.2020,Edge,1,Bairdiella chrysoura,42,0.8,1
PAP20200630-01,30.06.2020,Edge,1,Bairdiella chrysoura,43,0.9,1
PAP20200630-01,30.06.2020,Edge,1,Bairdiella chrysoura,39,0.7,1
PAP20200630-02,30.06.2020,Off,1,Bairdiella chrysoura,41,0.8,1
PAP20200630-02,30.06.2020,Off,1,Bairdiella chrysoura,67,4.3,1
PAP20200630-02,30.06.2020,Off,1,Bairdiella chrysoura,44,1,1
PAP20200630-02,30.06.2020,Off,1,Bairdiella chrysoura,49,1.4,1
PAP20200630-02,30.06.2020,Off,1,Bairdiella chrysoura,60,2.5,1
PAP20200630-02,30.06.2020,Off,1,Bairdiella chrysoura,37,0.6,1
PAP20200630-02,30.06.2020,Off,1,Bairdiella chrysoura,42,1,1
PAP20200630-02,30.06.2020,Off,1,Bairdiella chrysoura,50,1.4,1
PAP20200630-02,30.06.2020,Off,1,Bairdiella chrysoura,40,0.8,1
PAP20200630-02,30.06.2020,Off,1,Bairdiella chrysoura,42,0.9,1
PAP20200630-02,30.06.2020,Off,1,Bairdiella chrysoura,44,1.2,1
PAP20200630-02,30.06.2020,Off,1,Bairdiella chrysoura,40,0.8,1
PAP20200630-04,30.06.2020,Edge,2,Bairdiella chrysoura,41,0.8,1
PAP20200630-04,30.06.2020,Edge,2,Bairdiella chrysoura,47,1.2,1
PAP20200630-04,30.06.2020,Edge,2,Bairdiella chrysoura,47,1.1,1
PAP20200630-04,30.06.2020,Edge,2,Bairdiella chrysoura,47,1.1,1
PAP20200630-04,30.06.2020,Edge,2,Bairdiella chrysoura,57,1.9,1
PAP20200630-04,30.06.2020,Edge,2,Bairdiella chrysoura,42,0.8,1
PAP20200630-05,30.06.2020,Off,3,Bairdiella chrysoura,44,1,1
PAP20200630-05,30.06.2020,Off,3,Bairdiella chrysoura,41,0.8,1
PAP20200630-05,30.06.2020,Off,3,Bairdiella chrysoura,39,0.7,1
PAP20200630-05,30.06.2020,Off,3,Bairdiella chrysoura,40,0.8,1
PAP20200630-05,30.06.2020,Off,3,Bairdiella chrysoura,38,0.8,1
PAP20200630-06,30.06.2020,Edge,3,Bairdiella chrysoura,45,1,1
PAP20200630-07,30.06.2020,Edge,4,Bairdiella chrysoura,60,2.5,1
PAP20200630-07,30.06.2020,Edge,4,Bairdiella chrysoura,42,0.9,1
PAP20200630-07,30.06.2020,Edge,4,Bairdiella chrysoura,39,0.7,1
PAP20200630-07,30.06.2020,Edge,4,Bairdiella chrysoura,52,1.6,1
PAP20200630-07,30.06.2020,Edge,4,Bairdiella chrysoura,82,6.5,1
PAP20200630-07,30.06.2020,Edge,4,Bairdiella chrysoura,53,1.7,1
PAP20200630-07,30.06.2020,Edge,4,Bairdiella chrysoura,70,4.4,1
PAP20200630-07,30.06.2020,Edge,4,Bairdiella chrysoura,45,0.9,1
PAP20200630-07,30.06.2020,Edge,4,Bairdiella chrysoura,71,4.2,1
PAP20200630-07,30.06.2020,Edge,4,Bairdiella chrysoura,44,1,1
PAP20200630-07,30.06.2020,Edge,4,Bairdiella chrysoura,72,4.9,1
PAP20200630-07,30.06.2020,Edge,4,Bairdiella chrysoura,61,2.9,1
PAP20200630-07,30.06.2020,Edge,4,Bairdiella chrysoura,46,1.1,1
PAP20200630-08,30.06.2020,Off,4,Bairdiella chrysoura,71,4.2,1
PAP20200630-08,30.06.2020,Off,4,Bairdiella chrysoura,61,2.5,1
PAP20200630-08,30.06.2020,Off,4,Bairdiella chrysoura,74,5,1
PAP20200630-08,30.06.2020,Off,4,Bairdiella chrysoura,63,2.8,1
PAP20200630-08,30.06.2020,Off,4,Bairdiella chrysoura,56,2.1,1
PAP20200630-08,30.06.2020,Off,4,Bairdiella chrysoura,52,1.4,1
PAP20200630-08,30.06.2020,Off,4,Bairdiella chrysoura,58,2.1,1
PAP20200630-08,30.06.2020,Off,4,Bairdiella chrysoura,51,1.5,1
PAP20200630-08,30.06.2020,Off,4,Bairdiella chrysoura,55,1.8,1
PAP20200630-08,30.06.2020,Off,4,Bairdiella chrysoura,56,1.8,1
PAP20200630-08,30.06.2020,Off,4,Bairdiella chrysoura,47,1.1,1
PAP20200630-08,30.06.2020,Off,4,Bairdiella chrysoura,44,0.8,1
PAP20200630-08,30.06.2020,Off,4,Bairdiella chrysoura,44,1,1
PAP20200630-08,30.06.2020,Off,4,Bairdiella chrysoura,48,1.2,1
PAP20200630-08,30.06.2020,Off,4,Bairdiella chrysoura,43,0.9,1
PAP20200630-08,30.06.2020,Off,4,Bairdiella chrysoura,52,1.5,1
PAP20200630-08,30.06.2020,Off,4,Bairdiella chrysoura,47,1,1
PAP20200630-08,30.06.2020,Off,4,Bairdiella chrysoura,50,1.3,1
PAP20200630-08,30.06.2020,Off,4,Bairdiella chrysoura,44,0.8,1
