Sample,samp_date,E/O,Block,Species,Length,Weight (g),Sex,N
PAP20200630-05,30.06.2020,Off,3,Callinectes sapidus,57,13.7,F,1
PAP20200630-06,30.06.2020,Edge,3,Callinectes sapidus,156,,F,1
PAP20200630-07,30.06.2020,Edge,4,Callinectes sapidus,19,0.6,,1
PAP20200630-07,30.06.2020,Edge,4,Callinectes sapidus,22,1.1,,1
PAP20200630-07,30.06.2020,Edge,4,Callinectes sapidus,17,0.7,,1
PAP20200630-08,30.06.2020,Off,4,Callinectes sapidus,26,1.4,M,1
PAP20200630-11,30.06.2020,Edge,5,Callinectes sapidus,16,0.4,,1
PAP20200630-11,30.06.2020,Edge,5,Callinectes sapidus,15,0.3,,1
PAP20200630-11,30.06.2020,Edge,5,Callinectes sapidus,26,1.4,,1
PAP20200630-11,30.06.2020,Edge,5,Callinectes sapidus,17,0.4,,1
PAP20200630-11,30.06.2020,Edge,5,Callinectes sapidus,14,0.3,,1
PAP20200708-03,08.07.2020,Edge,3,Callinectes sapidus,20,0.6,,1
PAP20200708-05,08.07.2020,Edge,4,Callinectes sapidus,19,0.5,,1
PAP20200708-05,08.07.2020,Edge,4,Callinectes sapidus,17,0.5,,1
PAP20200714-03,14.07.2020,Edge,2,Callinectes sapidus,20,0.6,F,1
PAP20200714-03,14.07.2020,Edge,2,Callinectes sapidus,19,0.5,,1
PAP20200714-03,14.07.2020,Edge,2,Callinectes sapidus,15,0.4,,1
PAP20200714-03,14.07.2020,Edge,2,Callinectes sapidus,16,0.5,,1
PAP20200714-03,14.07.2020,Edge,2,Callinectes sapidus,18,0.4,,1
PAP20200714-04,14.07.2020,Off,2,Callinectes sapidus,15,0.6,,1
PAP20200714-05,14.07.2020,Edge,3,Callinectes sapidus,21,0.8,,1
PAP20200714-05,14.07.2020,Edge,3,Callinectes sapidus,15,0.4,,1
PAP20200714-05,14.07.2020,Edge,3,Callinectes sapidus,15,0.5,,1
PAP20200714-05,14.07.2020,Edge,3,Callinectes sapidus,15,0.4,,1
PAP20200714-05,14.07.2020,Edge,3,Callinectes sapidus,17,0.4,,1
PAP20200714-05,14.07.2020,Edge,3,Callinectes sapidus,11,0.3,,1
PAP20200714-05,14.07.2020,Edge,3,Callinectes sapidus,12,0.3,,1
PAP20200714-05,14.07.2020,Edge,3,Callinectes sapidus,11,0.3,,1
PAP20200714-05,14.07.2020,Edge,3,Callinectes sapidus,6,0.1,,1
PAP20200714-06,14.07.2020,Off,3,Callinectes sapidus,22,1.3,,1
PAP20200714-08,14.07.2020,Off,4,Callinectes sapidus,5,,,1
PAP20200714-08,14.07.2020,Off,4,Callinectes sapidus,3,,,1
PAP20200714-08,14.07.2020,Off,4,Callinectes sapidus,3,,,1
PAP20200714-08,14.07.2020,Off,4,Callinectes sapidus,2,,,1
PAP20200714-09,14.07.2020,Edge,5,Callinectes sapidus,66,25.1,F,1
PAP20200714-09,14.07.2020,Edge,5,Callinectes sapidus,32,4.2,M,1
PAP20200714-10,14.07.2020,Off,5,Callinectes sapidus,14,0.3,,1
PAP20200714-10,14.07.2020,Off,5,Callinectes sapidus,11,0.2,,1
PAP20200714-10,14.07.2020,Off,5,Callinectes sapidus,12,0.3,,1
PAP20200721-03,21.07.2020,Edge,2,Callinectes sapidus,19,1,,1
PAP20200721-03,21.07.2020,Edge,2,Callinectes sapidus,13,0.4,,1
PAP20200721-03,21.07.2020,Edge,2,Callinectes sapidus,16,0.7,,1
PAP20200721-03,21.07.2020,Edge,2,Callinectes sapidus,12,0.3,,1
PAP20200721-05,21.07.2020,Edge,3,Callinectes sapidus,24,1.1,,1
PAP20200721-05,21.07.2020,Edge,3,Callinectes sapidus,19,0.7,,1
PAP20200721-05,21.07.2020,Edge,3,Callinectes sapidus,14,0.3,,1
PAP20200721-05,21.07.2020,Edge,3,Callinectes sapidus,12,0.2,,1
PAP20200721-06,21.07.2020,Off,3,Callinectes sapidus,19,0.6,,1
PAP20200721-07,21.07.2020,Edge,4,Callinectes sapidus,32,2.9,M,1
PAP20200721-07,21.07.2020,Edge,4,Callinectes sapidus,21,1.1,,1
PAP20200721-09,21.07.2020,Edge,5,Callinectes sapidus,11,0.3,,1
PAP20200731-03,31.07.2020,Edge,2,Callinectes sapidus,13,0.3,,1
PAP20200731-03,31.07.2020,Edge,2,Callinectes sapidus,16,1.1,,1
PAP20200731-06,31.07.2020,Off,3,Callinectes sapidus,177,,F,1
PAP20200731-09,31.07.2020,Edge,5,Callinectes sapidus,18,0.5,,1
PAP20200731-09,31.07.2020,Edge,5,Callinectes sapidus,12,0.3,,1
PAP20200806-03,06.08.2020,Edge,2,Callinectes sapidus,16,0.5,,1
PAP20200806-05,06.08.2020,Edge,3,Callinectes sapidus,11,0.4,,1
PAP20200806-05,06.08.2020,Edge,3,Callinectes sapidus,10,0.1,,1
PAP20200806-07,06.08.2020,Edge,4,Callinectes sapidus,19,0.6,,1
PAP20200806-07,06.08.2020,Edge,4,Callinectes sapidus,16,0.3,,1
PAP20200806-07,06.08.2020,Edge,4,Callinectes sapidus,11,0.1,,1
PAP20200806-08,06.08.2020,Off,4,Callinectes sapidus,20,0.8,,1
PAP20200806-08,06.08.2020,Off,4,Callinectes sapidus,14,0.3,,1
PAP20200806-08,06.08.2020,Off,4,Callinectes sapidus,14,0.3,,1
PAP20200806-10,06.08.2020,Off,5,Callinectes sapidus,28,1.7,M,1
PAP20200806-10,06.08.2020,Off,5,Callinectes sapidus,17,0.6,,1
PAP20200806-10,06.08.2020,Off,5,Callinectes sapidus,18,0.7,,1
PAP20200814-02,14.08.2020,Off,1,Callinectes sapidus,21,0.8,,1
PAP20200814-02,14.08.2020,Off,1,Callinectes sapidus,125,102.5,F,1
PAP20200814-03,14.08.2020,Edge,2,Callinectes sapidus,38,3.9,M,1
PAP20200814-03,14.08.2020,Edge,2,Callinectes sapidus,19,0.6,,1
PAP20200814-03,14.08.2020,Edge,2,Callinectes sapidus,23,0.8,,1
PAP20200814-03,14.08.2020,Edge,2,Callinectes sapidus,19,0.7,,1
PAP20200814-03,14.08.2020,Edge,2,Callinectes sapidus,20,0.8,,1
PAP20200814-03,14.08.2020,Edge,2,Callinectes sapidus,16,0.3,,1
PAP20200814-03,14.08.2020,Edge,2,Callinectes sapidus,18,0.5,,1
PAP20200814-06,14.08.2020,Off,3,Callinectes sapidus,18,0.6,,1
PAP20200814-06,14.08.2020,Off,3,Callinectes sapidus,15,0.4,,1
PAP20200814-07,14.08.2020,Edge,4,Callinectes sapidus,46,8.4,M,1
PAP20200814-07,14.08.2020,Edge,4,Callinectes sapidus,26,1.3,,1
PAP20200814-07,14.08.2020,Edge,4,Callinectes sapidus,37,4.9,F,1
PAP20200814-07,14.08.2020,Edge,4,Callinectes sapidus,25,1.2,,1
PAP20200814-07,14.08.2020,Edge,4,Callinectes sapidus,24,1.1,,1
PAP20200814-07,14.08.2020,Edge,4,Callinectes sapidus,21,0.9,,1
PAP20200814-07,14.08.2020,Edge,4,Callinectes sapidus,18,0.7,,1
PAP20200814-07,14.08.2020,Edge,4,Callinectes sapidus,21,0.7,,1
PAP20200814-07,14.08.2020,Edge,4,Callinectes sapidus,15,0.4,,1
PAP20200814-07,14.08.2020,Edge,4,Callinectes sapidus,9,0.1,,1
PAP20200814-07,14.08.2020,Edge,4,Callinectes sapidus,22,0.7,,1
PAP20200814-07,14.08.2020,Edge,4,Callinectes sapidus,16,0.5,,1
PAP20200814-07,14.08.2020,Edge,4,Callinectes sapidus,20,0.7,,1
PAP20200814-07,14.08.2020,Edge,4,Callinectes sapidus,14,0.3,,1
PAP20200814-07,14.08.2020,Edge,4,Callinectes sapidus,15,0.3,,1
PAP20200814-07,14.08.2020,Edge,4,Callinectes sapidus,13,0.2,,1
PAP20200814-07,14.08.2020,Edge,4,Callinectes sapidus,13,0.3,,1
PAP20200814-07,14.08.2020,Edge,4,Callinectes sapidus,15,1.4,,1
PAP20200814-07,14.08.2020,Edge,4,Callinectes sapidus,10,0.1,,1
PAP20200814-07,14.08.2020,Edge,4,Callinectes sapidus,12,0.2,,1
PAP20200814-08,14.08.2020,Off,4,Callinectes sapidus,16,0.5,,1
PAP20200814-08,14.08.2020,Off,4,Callinectes sapidus,22,0.7,,1
PAP20200819-05,19.08.2020,Edge,3,Callinectes sapidus,17,0.3,,1
PAP20200819-07,19.08.2020,Edge,4,Callinectes sapidus,19,0.8,,1
PAP20200819-07,19.08.2020,Edge,4,Callinectes sapidus,15,0.4,,1
PAP20200819-07,19.08.2020,Edge,4,Callinectes sapidus,4,0.1,,1
PAP20200819-07,19.08.2020,Edge,4,Callinectes sapidus,9,0.1,,1
PAP20200819-07,19.08.2020,Edge,4,Callinectes sapidus,7,0.1,,1
PAP20200819-07,19.08.2020,Edge,4,Callinectes sapidus,6,,,1
PAP20200819-07,19.08.2020,Edge,4,Callinectes sapidus,5,,,1
PAP20200819-07,19.08.2020,Edge,4,Callinectes sapidus,22,0.8,,1
PAP20200819-07,19.08.2020,Edge,4,Callinectes sapidus,22,0.7,,1
PAP20200819-07,19.08.2020,Edge,4,Callinectes sapidus,8,0.2,,1
PAP20200819-07,19.08.2020,Edge,4,Callinectes sapidus,13,0.4,,1
PAP20200819-07,19.08.2020,Edge,4,Callinectes sapidus,14,0.3,,1
PAP20200819-07,19.08.2020,Edge,4,Callinectes sapidus,13,0.3,,1
PAP20200819-07,19.08.2020,Edge,4,Callinectes sapidus,12,0.2,,1
PAP20200819-07,19.08.2020,Edge,4,Callinectes sapidus,4,,,1
PAP20200819-07,19.08.2020,Edge,4,Callinectes sapidus,4,0.1,,1
PAP20200819-07,19.08.2020,Edge,4,Callinectes sapidus,6,0.1,,1
