Sample,samp_date,E/O,Block,Species,Length,Weight (g),Sex,N
PAP20200630-02,30.06.2020,Off,1,Cynoscion arenarius,30,0.5,,1
PAP20200630-06,30.06.2020,Edge,3,Cynoscion arenarius,63,2.1,,1
PAP20200630-07,30.06.2020,Edge,4,Cynoscion arenarius,49,1,,1
PAP20200630-07,30.06.2020,Edge,4,Cynoscion arenarius,59,1.9,,1
PAP20200630-07,30.06.2020,Edge,4,Cynoscion arenarius,46,0.8,,1
PAP20200630-08,30.06.2020,Off,4,Cynoscion arenarius,59,1.7,,1
PAP20200708-01,08.07.2020,Edge,2,Cynoscion arenarius,50,1,,1
PAP20200708-08,08.07.2020,Off,5,Cynoscion arenarius,61,2.2,,1
PAP20200708-08,08.07.2020,Off,5,Cynoscion arenarius,52,1.3,,1
PAP20200714-03,14.07.2020,Edge,2,Cynoscion arenarius,37,0.4,,1
PAP20200714-06,14.07.2020,Off,3,Cynoscion arenarius,55,1.3,,1
PAP20200721-06,21.07.2020,Off,3,Cynoscion arenarius,50,1.4,,1
PAP20200721-09,21.07.2020,Edge,5,Cynoscion arenarius,65,2.4,,1
PAP20200721-09,21.07.2020,Edge,5,Cynoscion arenarius,42,0.6,,1
PAP20200721-10,21.07.2020,Off,5,Cynoscion arenarius,49,1,,1
PAP20200806-08,06.08.2020,Off,4,Cynoscion arenarius,45,0.7,,1
PAP20200806-09,06.08.2020,Edge,5,Cynoscion arenarius,50,1.1,,1
PAP20200806-10,06.08.2020,Off,5,Cynoscion arenarius,60,1.7,,1
PAP20200814-02,14.08.2020,Off,1,Cynoscion arenarius,46,0.9,,1
PAP20200814-02,14.08.2020,Off,1,Cynoscion arenarius,47,0.9,,1
PAP20200814-03,14.08.2020,Edge,2,Cynoscion arenarius,51,1.1,,1
PAP20200814-03,14.08.2020,Edge,2,Cynoscion arenarius,47,0.8,,1
PAP20200814-03,14.08.2020,Edge,2,Cynoscion arenarius,44,0.6,,1
PAP20200814-03,14.08.2020,Edge,2,Cynoscion arenarius,50,0.8,,1
PAP20200814-03,14.08.2020,Edge,2,Cynoscion arenarius,37,0.4,,1
PAP20200814-03,14.08.2020,Edge,2,Cynoscion arenarius,46,0.7,,1
PAP20200814-03,14.08.2020,Edge,2,Cynoscion arenarius,44,0.7,,1
PAP20200814-03,14.08.2020,Edge,2,Cynoscion arenarius,43,0.6,,1
PAP20200814-04,14.08.2020,Off,2,Cynoscion arenarius,54,0.8,,1
PAP20200814-04,14.08.2020,Off,2,Cynoscion arenarius,50,0.7,,1
PAP20200814-05,14.08.2020,Edge,3,Cynoscion arenarius,45,0.8,,1
PAP20200814-06,14.08.2020,Off,3,Cynoscion arenarius,46,1.1,,1
PAP20200814-06,14.08.2020,Off,3,Cynoscion arenarius,46,1,,1
PAP20200814-06,14.08.2020,Off,3,Cynoscion arenarius,42,0.7,,1
PAP20200814-06,14.08.2020,Off,3,Cynoscion arenarius,45,0.8,,1
PAP20200814-06,14.08.2020,Off,3,Cynoscion arenarius,38,0.6,,1
PAP20200814-06,14.08.2020,Off,3,Cynoscion arenarius,,,,1
PAP20200814-08,14.08.2020,Off,4,Cynoscion arenarius,54,1.3,,1
PAP20200814-08,14.08.2020,Off,4,Cynoscion arenarius,50,0.9,,1
PAP20200814-08,14.08.2020,Off,4,Cynoscion arenarius,48,1.2,,1
PAP20200814-08,14.08.2020,Off,4,Cynoscion arenarius,46,0.8,,1
PAP20200814-09,14.08.2020,Edge,5,Cynoscion arenarius,50,1.1,,1
PAP20200814-09,14.08.2020,Edge,5,Cynoscion arenarius,48,1,,1
PAP20200814-09,14.08.2020,Edge,5,Cynoscion arenarius,44,0.7,,1
PAP20200814-10,14.08.2020,Off,5,Cynoscion arenarius,43,0.8,,1
PAP20200814-10,14.08.2020,Off,5,Cynoscion arenarius,60,1.9,,1
PAP20200814-10,14.08.2020,Off,5,Cynoscion arenarius,59,1.5,,1
PAP20200814-10,14.08.2020,Off,5,Cynoscion arenarius,44,0.7,,1
PAP20200819-03,19.08.2020,Edge,2,Cynoscion arenarius,55,1.3,,1
PAP20200819-03,19.08.2020,Edge,2,Cynoscion arenarius,55,0.9,,1
PAP20200819-05,19.08.2020,Edge,3,Cynoscion arenarius,47,0.8,,1
PAP20200819-05,19.08.2020,Edge,3,Cynoscion arenarius,53,1,,1
PAP20200819-05,19.08.2020,Edge,3,Cynoscion arenarius,62,1.7,,1
PAP20200819-05,19.08.2020,Edge,3,Cynoscion arenarius,50,1,,1
PAP20200819-07,19.08.2020,Edge,4,Cynoscion arenarius,45,0.7,,1
PAP20200819-07,19.08.2020,Edge,4,Cynoscion arenarius,50,1,,1
PAP20200819-07,19.08.2020,Edge,4,Cynoscion arenarius,59,1.7,,1
PAP20200819-07,19.08.2020,Edge,4,Cynoscion arenarius,48,0.8,,1
PAP20200819-07,19.08.2020,Edge,4,Cynoscion arenarius,53,1.1,,1
PAP20200819-07,19.08.2020,Edge,4,Cynoscion arenarius,45,0.6,,1
PAP20200819-08,19.08.2020,Off,4,Cynoscion arenarius,53,1.2,,1
PAP20200819-08,19.08.2020,Off,4,Cynoscion arenarius,53,1.2,,1
PAP20200819-08,19.08.2020,Off,4,Cynoscion arenarius,55,1.3,,1
PAP20200819-08,19.08.2020,Off,4,Cynoscion arenarius,51,1.1,,1
PAP20200819-09,19.08.2020,Edge,5,Cynoscion arenarius,54,1.4,,1
PAP20200819-09,19.08.2020,Edge,5,Cynoscion arenarius,53,1,,1
PAP20200819-09,19.08.2020,Edge,5,Cynoscion arenarius,53,1.2,,1
PAP20200819-09,19.08.2020,Edge,5,Cynoscion arenarius,51,1.2,,1
PAP20200819-09,19.08.2020,Edge,5,Cynoscion arenarius,48,0.9,,1
PAP20200819-09,19.08.2020,Edge,5,Cynoscion arenarius,52,0.8,,1
PAP20200819-10,19.08.2020,Off,5,Cynoscion arenarius,52,1,,1
PAP20200819-10,19.08.2020,Off,5,Cynoscion arenarius,66,2.1,,1
PAP20200819-10,19.08.2020,Off,5,Cynoscion arenarius,45,0.9,,1
PAP20200819-10,19.08.2020,Off,5,Cynoscion arenarius,60,1.9,,1
PAP20200819-10,19.08.2020,Off,5,Cynoscion arenarius,50,0.9,,1
PAP20200819-10,19.08.2020,Off,5,Cynoscion arenarius,51,1,,1
PAP20200819-10,19.08.2020,Off,5,Cynoscion arenarius,53,1.1,,1
PAP20200819-10,19.08.2020,Off,5,Cynoscion arenarius,51,0.9,,1
PAP20200819-10,19.08.2020,Off,5,Cynoscion arenarius,52,1,,1
PAP20200819-10,19.08.2020,Off,5,Cynoscion arenarius,51,1.4,,1
PAP20200819-10,19.08.2020,Off,5,Cynoscion arenarius,38,0.8,,1
PAP20200819-10,19.08.2020,Off,5,Cynoscion arenarius,49,0.9,,1
PAP20200819-10,19.08.2020,Off,5,Cynoscion arenarius,51,0.9,,1
PAP20200819-10,19.08.2020,Off,5,Cynoscion arenarius,47,0.7,,1
PAP20200828-07,28.08.2020,Edge,4,Cynoscion arenarius,61,2,,1
PAP20200828-10,28.08.2020,Off,5,Cynoscion arenarius,41,0.6,,1
PAP20200903-03,03.09.2020,Edge,2,Cynoscion arenarius,42,0.7,,1
PAP20200903-07,03.09.2020,Edge,4,Cynoscion arenarius,33,0.3,,1
PAP20200903-07,03.09.2020,Edge,4,Cynoscion arenarius,34,0.3,,1
PAP20200903-10,03.09.2020,Off,5,Cynoscion arenarius,49,1.1,,1
PAP20200910-03,10.09.2020,Edge,2,Cynoscion arenarius,44,0.7,,1
PAP20200910-07,10.09.2020,Edge,4,Cynoscion arenarius,57,1.5,,1
PAP20200910-07,10.09.2020,Edge,4,Cynoscion arenarius,42,0.6,,1
PAP20200910-07,10.09.2020,Edge,4,Cynoscion arenarius,49,1,,1
PAP20200910-07,10.09.2020,Edge,4,Cynoscion arenarius,39,0.5,,1
PAP20200910-07,10.09.2020,Edge,4,Cynoscion arenarius,41,0.6,,1
PAP20200910-07,10.09.2020,Edge,4,Cynoscion arenarius,39,0.5,,1
PAP20200910-08,10.09.2020,Off,4,Cynoscion arenarius,44,0.7,,1
PAP20200930-03,30.09.2020,Edge,2,Cynoscion arenarius,35,0.4,,1
PAP20200930-05,30.09.2020,Edge,3,Cynoscion arenarius,38,0.5,,1
PAP20201007-03,07.10.2020,Edge,2,Cynoscion arenarius,44,0.7,,1
PAP20201007-07,07.10.2020,Edge,4,Cynoscion arenarius,48,0.8,,1
