Sample,samp_date,E/O,Block,Species,Length ,Weight (g),Sex,N
PAP20200630-05,30.06.2020,Off,3,Cynoscion nebulosus,56,1.5,,1
PAP20200708-05,08.07.2020,Edge,4,Cynoscion nebulosus,67,2.8,,1
PAP20200708-05,08.07.2020,Edge,4,Cynoscion nebulosus,45,0.9,,1
PAP20200708-05,08.07.2020,Edge,4,Cynoscion nebulosus,48,1.1,,1
PAP20200714-03,14.07.2020,Edge,2,Cynoscion nebulosus,47,0.9,,1
PAP20200714-05,14.07.2020,Edge,3,Cynoscion nebulosus,45,0.9,,1
PAP20200714-05,14.07.2020,Edge,3,Cynoscion nebulosus,53,1.2,,1
PAP20200714-05,14.07.2020,Edge,3,Cynoscion nebulosus,48,1,,1
PAP20200714-05,14.07.2020,Edge,3,Cynoscion nebulosus,51,1.2,,1
PAP20200714-05,14.07.2020,Edge,3,Cynoscion nebulosus,54,1.2,,1
PAP20200714-06,14.07.2020,Off,3,Cynoscion nebulosus,44,0.7,,1
PAP20200714-08,14.07.2020,Off,4,Cynoscion nebulosus,55,1.5,,1
PAP20200714-10,14.07.2020,Off,5,Cynoscion nebulosus,70,3.2,,1
PAP20200714-10,14.07.2020,Off,5,Cynoscion nebulosus,51,1.4,,1
PAP20200721-03,21.07.2020,Edge,2,Cynoscion nebulosus,63,2.6,,1
PAP20200721-03,21.07.2020,Edge,2,Cynoscion nebulosus,59,1.8,,1
PAP20200721-08,21.07.2020,Off,4,Cynoscion nebulosus,50,1.3,,1
PAP20200806-03,06.08.2020,Edge,2,Cynoscion nebulosus,90,6.4,,1
PAP20200806-03,06.08.2020,Edge,2,Cynoscion nebulosus,79,4.2,,1
PAP20200806-03,06.08.2020,Edge,2,Cynoscion nebulosus,54,1.3,,1
PAP20200806-03,06.08.2020,Edge,2,Cynoscion nebulosus,38,0.4,,1
PAP20200806-03,06.08.2020,Edge,2,Cynoscion nebulosus,47,1,,1
