Sample,samp_date,E/O,Block,Species,Length,Weight (g)
PAP20200714-03,14.07.2020,Edge,2,Fundulus grandis,45,1
PAP20200714-03,14.07.2020,Edge,2,Fundulus grandis,44,0.9
PAP20200714-03,14.07.2020,Edge,2,Fundulus grandis,46,1.1
PAP20200714-03,14.07.2020,Edge,2,Fundulus grandis,50,1.4
PAP20200714-03,14.07.2020,Edge,2,Fundulus grandis,43,0.8
PAP20200714-03,14.07.2020,Edge,2,Fundulus grandis,42,0.9
PAP20200714-03,14.07.2020,Edge,2,Fundulus grandis,44,0.9
PAP20200714-03,14.07.2020,Edge,2,Fundulus grandis,32,0.3
PAP20200714-03,14.07.2020,Edge,2,Fundulus grandis,47,1
PAP20200714-05,14.07.2020,Edge,3,Fundulus grandis,42,0.8
PAP20200714-06,14.07.2020,Off,3,Fundulus grandis,50,1.6
PAP20200714-06,14.07.2020,Off,3,Fundulus grandis,42,0.8
PAP20200714-06,14.07.2020,Off,3,Fundulus grandis,40,0.8
PAP20200714-10,14.07.2020,Off,5,Fundulus grandis,44,1
PAP20200714-10,14.07.2020,Off,5,Fundulus grandis,41,0.8
PAP20200714-10,14.07.2020,Off,5,Fundulus grandis,48,1.5
PAP20200714-10,14.07.2020,Off,5,Fundulus grandis,42,0.8
PAP20200714-10,14.07.2020,Off,5,Fundulus grandis,45,1.1
PAP20200714-10,14.07.2020,Off,5,Fundulus grandis,43,1.1
PAP20200714-10,14.07.2020,Off,5,Fundulus grandis,42,1
PAP20200714-10,14.07.2020,Off,5,Fundulus grandis,41,0.9
PAP20200714-10,14.07.2020,Off,5,Fundulus grandis,54,1.6
PAP20200714-10,14.07.2020,Off,5,Fundulus grandis,49,1.4
PAP20200714-10,14.07.2020,Off,5,Fundulus grandis,44,1
PAP20200714-10,14.07.2020,Off,5,Fundulus grandis,52,1.6
PAP20200714-10,14.07.2020,Off,5,Fundulus grandis,49,1.6
PAP20200714-10,14.07.2020,Off,5,Fundulus grandis,44,1
PAP20200714-10,14.07.2020,Off,5,Fundulus grandis,39,0.8
PAP20200714-10,14.07.2020,Off,5,Fundulus grandis,45,1.1
PAP20200714-10,14.07.2020,Off,5,Fundulus grandis,45,1.1
PAP20200714-10,14.07.2020,Off,5,Fundulus grandis,42,0.8
PAP20200714-10,14.07.2020,Off,5,Fundulus grandis,45,1.2
PAP20200714-10,14.07.2020,Off,5,Fundulus grandis,43,0.9
PAP20200814-06,14.08.2020,Off,3,Fundulus grandis,47,1.3
PAP20200814-07,14.08.2020,Edge,4,Fundulus grandis,49,1.3
PAP20200814-07,14.08.2020,Edge,4,Fundulus grandis,58,2.5
PAP20200814-07,14.08.2020,Edge,4,Fundulus grandis,60,2.5
PAP20200814-07,14.08.2020,Edge,4,Fundulus grandis,47,1.1
PAP20200814-07,14.08.2020,Edge,4,Fundulus grandis,45,1
PAP20200814-07,14.08.2020,Edge,4,Fundulus grandis,47,1.3
PAP20200814-07,14.08.2020,Edge,4,Fundulus grandis,55,1.8
PAP20200814-07,14.08.2020,Edge,4,Fundulus grandis,50,1.5
PAP20200814-07,14.08.2020,Edge,4,Fundulus grandis,54,2
PAP20200814-07,14.08.2020,Edge,4,Fundulus grandis,56,2
PAP20200814-07,14.08.2020,Edge,4,Fundulus grandis,52,1.8
PAP20200814-07,14.08.2020,Edge,4,Fundulus grandis,52,1.9
PAP20200814-07,14.08.2020,Edge,4,Fundulus grandis,51,1.7
PAP20200814-07,14.08.2020,Edge,4,Fundulus grandis,54,1.9
PAP20200814-07,14.08.2020,Edge,4,Fundulus grandis,46,1.1
PAP20200814-07,14.08.2020,Edge,4,Fundulus grandis,51,1.6
PAP20200814-07,14.08.2020,Edge,4,Fundulus grandis,48,1.1
PAP20200814-07,14.08.2020,Edge,4,Fundulus grandis,53,1.8
PAP20200814-07,14.08.2020,Edge,4,Fundulus grandis,46,1.2
PAP20200814-07,14.08.2020,Edge,4,Fundulus grandis,43,1.3
PAP20200814-08,14.08.2020,Off,4,Fundulus grandis,43,0.9
PAP20200828-09,28.08.2020,Edge,5,Fundulus grandis,50,1.6
PAP20200828-09,28.08.2020,Edge,5,Fundulus grandis,48,1.4
PAP20200903-10,03.09.2020,Off,5,Fundulus grandis,47,1.3
PAP20200910-09,10.09.2020,Edge,5,Fundulus grandis,58,2.2
PAP20200910-09,10.09.2020,Edge,5,Fundulus grandis,54,1.6
PAP20200910-09,10.09.2020,Edge,5,Fundulus grandis,54,2
PAP20200910-09,10.09.2020,Edge,5,Fundulus grandis,42,0.9
PAP20200910-09,10.09.2020,Edge,5,Fundulus grandis,49,1.5
PAP20200910-09,10.09.2020,Edge,5,Fundulus grandis,54,1.9
PAP20200910-09,10.09.2020,Edge,5,Fundulus grandis,57,2.2
PAP20200910-09,10.09.2020,Edge,5,Fundulus grandis,52,1.7
PAP20200910-09,10.09.2020,Edge,5,Fundulus grandis,56,2
PAP20200910-09,10.09.2020,Edge,5,Fundulus grandis,47,1.3
PAP20200910-09,10.09.2020,Edge,5,Fundulus grandis,41,0.8
PAP20200910-10,10.09.2020,Off,5,Fundulus grandis,54,2.1
PAP20200910-10,10.09.2020,Off,5,Fundulus grandis,45,1
PAP20200910-10,10.09.2020,Off,5,Fundulus grandis,61,2.9
PAP20200910-10,10.09.2020,Off,5,Fundulus grandis,47,1.2
PAP20200910-10,10.09.2020,Off,5,Fundulus grandis,62,2.9
PAP20200910-10,10.09.2020,Off,5,Fundulus grandis,59,2.4
PAP20200910-10,10.09.2020,Off,5,Fundulus grandis,43,0.9
PAP20200910-10,10.09.2020,Off,5,Fundulus grandis,57,2.3
PAP20200910-10,10.09.2020,Off,5,Fundulus grandis,49,1.6
PAP20200910-10,10.09.2020,Off,5,Fundulus grandis,50,1.6
PAP20200910-10,10.09.2020,Off,5,Fundulus grandis,43,1
PAP20200910-10,10.09.2020,Off,5,Fundulus grandis,49,1.6
PAP20200910-10,10.09.2020,Off,5,Fundulus grandis,50,1.5
PAP20200910-10,10.09.2020,Off,5,Fundulus grandis,48,1.2
PAP20200910-10,10.09.2020,Off,5,Fundulus grandis,51,1.5
PAP20200910-10,10.09.2020,Off,5,Fundulus grandis,43,0.9
PAP20200910-10,10.09.2020,Off,5,Fundulus grandis,43,1.1
PAP20200910-10,10.09.2020,Off,5,Fundulus grandis,44,0.9
PAP20201007-09,07.10.2020,Edge,5,Fundulus grandis,60,2.7
PAP20201007-09,07.10.2020,Edge,5,Fundulus grandis,58,2.4
PAP20201007-09,07.10.2020,Edge,5,Fundulus grandis,47,1.2
PAP20201007-10,07.10.2020,Off,5,Fundulus grandis,60,2.7
PAP20201015-09,15.10.2020,Edge,5,Fundulus grandis,52,1.5
PAP20201020-07,20.10.2020,Edge,4,Fundulus grandis,55,2.1
PAP20201020-07,20.10.2020,Edge,4,Fundulus grandis,52,1.7
PAP20201020-09,20.10.2020,Edge,5,Fundulus grandis,54,2.1
PAP20201020-09,20.10.2020,Edge,5,Fundulus grandis,44,1.4
PAP20201112-10,12.11.2020,Off,5,Fundulus grandis,62,3.9
PAP20201112-10,12.11.2020,Off,5,Fundulus grandis,61,3.2
