Sample,samp_date,E.O,Block,Species,Length,Weight,N
PAP20200630-01,30.06.2020,Edge,1,Litopenaeus setiferus,11,0.8,1
PAP20200630-01,30.06.2020,Edge,1,Litopenaeus setiferus,11,0.7,1
PAP20200630-01,30.06.2020,Edge,1,Litopenaeus setiferus,13,1.2,1
PAP20200630-01,30.06.2020,Edge,1,Litopenaeus setiferus,11,1,1
PAP20200630-01,30.06.2020,Edge,1,Litopenaeus setiferus,14,1.8,1
PAP20200630-01,30.06.2020,Edge,1,Litopenaeus setiferus,9,0.9,1
PAP20200630-01,30.06.2020,Edge,1,Litopenaeus setiferus,7,0.5,1
PAP20200630-01,30.06.2020,Edge,1,Litopenaeus setiferus,10,0.6,1
PAP20200630-01,30.06.2020,Edge,1,Litopenaeus setiferus,7,0.5,1
PAP20200630-01,30.06.2020,Edge,1,Litopenaeus setiferus,9,0.4,1
PAP20200630-01,30.06.2020,Edge,1,Litopenaeus setiferus,11,0.9,1
PAP20200630-01,30.06.2020,Edge,1,Litopenaeus setiferus,8,0.3,1
PAP20200630-01,30.06.2020,Edge,1,Litopenaeus setiferus,8,0.5,1
PAP20200630-01,30.06.2020,Edge,1,Litopenaeus setiferus,9,1,1
PAP20200630-01,30.06.2020,Edge,1,Litopenaeus setiferus,7,0.4,1
PAP20200630-01,30.06.2020,Edge,1,Litopenaeus setiferus,8,0.4,1
PAP20200630-01,30.06.2020,Edge,1,Litopenaeus setiferus,9,0.6,1
PAP20200630-01,30.06.2020,Edge,1,Litopenaeus setiferus,9,0.6,1
PAP20200630-01,30.06.2020,Edge,1,Litopenaeus setiferus,8,0.5,1
PAP20200630-01,30.06.2020,Edge,1,Litopenaeus setiferus,9,0.6,1
PAP20200630-02,30.06.2020,Off,1,Litopenaeus setiferus,6,0.4,1
PAP20200630-02,30.06.2020,Off,1,Litopenaeus setiferus,8,0.4,1
PAP20200630-02,30.06.2020,Off,1,Litopenaeus setiferus,7,0.4,1
PAP20200630-03,30.06.2020,Off,2,Litopenaeus setiferus,13,0.8,1
PAP20200630-03,30.06.2020,Off,2,Litopenaeus setiferus,14,1.1,1
PAP20200630-04,30.06.2020,Edge,2,Litopenaeus setiferus,8,0.4,1
PAP20200630-04,30.06.2020,Edge,2,Litopenaeus setiferus,7,0.3,1
PAP20200630-04,30.06.2020,Edge,2,Litopenaeus setiferus,9,0.5,1
PAP20200630-04,30.06.2020,Edge,2,Litopenaeus setiferus,9,0.5,1
PAP20200630-04,30.06.2020,Edge,2,Litopenaeus setiferus,10,0.6,1
PAP20200630-04,30.06.2020,Edge,2,Litopenaeus setiferus,11,0.8,1
PAP20200630-04,30.06.2020,Edge,2,Litopenaeus setiferus,8,0.4,1
PAP20200630-04,30.06.2020,Edge,2,Litopenaeus setiferus,10,0.5,1
PAP20200630-04,30.06.2020,Edge,2,Litopenaeus setiferus,9,0.6,1
PAP20200630-04,30.06.2020,Edge,2,Litopenaeus setiferus,7,0.3,1
PAP20200630-04,30.06.2020,Edge,2,Litopenaeus setiferus,11,0.6,1
PAP20200630-04,30.06.2020,Edge,2,Litopenaeus setiferus,10,0.5,1
PAP20200630-04,30.06.2020,Edge,2,Litopenaeus setiferus,8,0.3,1
PAP20200630-04,30.06.2020,Edge,2,Litopenaeus setiferus,10,0.7,1
PAP20200630-04,30.06.2020,Edge,2,Litopenaeus setiferus,9,0.4,1
PAP20200630-04,30.06.2020,Edge,2,Litopenaeus setiferus,10,0.6,1
PAP20200630-04,30.06.2020,Edge,2,Litopenaeus setiferus,11,0.6,1
PAP20200630-05,30.06.2020,Off,3,Litopenaeus setiferus,11,0.7,1
PAP20200630-05,30.06.2020,Off,3,Litopenaeus setiferus,11,0.7,1
PAP20200630-05,30.06.2020,Off,3,Litopenaeus setiferus,13,0.7,1
PAP20200630-05,30.06.2020,Off,3,Litopenaeus setiferus,10,0.6,1
PAP20200630-05,30.06.2020,Off,3,Litopenaeus setiferus,7,0.4,1
PAP20200630-05,30.06.2020,Off,3,Litopenaeus setiferus,10,0.5,1
PAP20200630-05,30.06.2020,Off,3,Litopenaeus setiferus,9,0.6,1
PAP20200630-05,30.06.2020,Off,3,Litopenaeus setiferus,9,0.6,1
PAP20200630-05,30.06.2020,Off,3,Litopenaeus setiferus,11,0.6,1
PAP20200630-05,30.06.2020,Off,3,Litopenaeus setiferus,9,0.5,1
PAP20200630-05,30.06.2020,Off,3,Litopenaeus setiferus,11,0.6,1
PAP20200630-05,30.06.2020,Off,3,Litopenaeus setiferus,7,0.4,1
PAP20200630-05,30.06.2020,Off,3,Litopenaeus setiferus,10,0.5,1
PAP20200630-05,30.06.2020,Off,3,Litopenaeus setiferus,9,0.7,1
PAP20200630-05,30.06.2020,Off,3,Litopenaeus setiferus,9,0.6,1
PAP20200630-05,30.06.2020,Off,3,Litopenaeus setiferus,10,0.5,1
PAP20200630-05,30.06.2020,Off,3,Litopenaeus setiferus,8,0.5,1
PAP20200630-05,30.06.2020,Off,3,Litopenaeus setiferus,9,0.4,1
PAP20200630-05,30.06.2020,Off,3,Litopenaeus setiferus,8,0.3,1
PAP20200630-05,30.06.2020,Off,3,Litopenaeus setiferus,9,0.4,1
PAP20200630-06,30.06.2020,Edge,3,Litopenaeus setiferus,10,0.4,1
PAP20200630-06,30.06.2020,Edge,3,Litopenaeus setiferus,9,0.6,1
PAP20200630-06,30.06.2020,Edge,3,Litopenaeus setiferus,8,0.3,1
PAP20200630-06,30.06.2020,Edge,3,Litopenaeus setiferus,9,0.6,1
PAP20200630-06,30.06.2020,Edge,3,Litopenaeus setiferus,9,0.5,1
PAP20200630-06,30.06.2020,Edge,3,Litopenaeus setiferus,14,1.5,1
PAP20200630-06,30.06.2020,Edge,3,Litopenaeus setiferus,11,0.7,1
PAP20200630-06,30.06.2020,Edge,3,Litopenaeus setiferus,13,1.4,1
PAP20200630-06,30.06.2020,Edge,3,Litopenaeus setiferus,11,1.4,1
PAP20200630-06,30.06.2020,Edge,3,Litopenaeus setiferus,10,0.8,1
PAP20200630-06,30.06.2020,Edge,3,Litopenaeus setiferus,9,0.5,1
PAP20200630-06,30.06.2020,Edge,3,Litopenaeus setiferus,11,1.1,1
PAP20200630-06,30.06.2020,Edge,3,Litopenaeus setiferus,9,0.6,1
PAP20200630-06,30.06.2020,Edge,3,Litopenaeus setiferus,11,0.7,1
