Haul,L. setiferus CL,L. setiferus TL,F. spp. CL,F. spp. TL,,ReEnter,,If/Then,
PAP20200930-03,17,95,12,65,,95,65,0,0
PAP20200930-03,16,77,7,42,,77,42,0,0
PAP20200930-03,8,35,10,46,,35,46,0,0
PAP20200930-03,12,75,8,41,,75,41,0,0
PAP20200930-03,15,81,10,54,,81,54,0,0
PAP20200930-03,13,71,9,53,,71,53,0,0
PAP20200930-03,14,80,12,59,,80,59,0,0
PAP20200930-03,10,50,5,31,,50,31,0,0
PAP20200930-03,14,75,10,47,,75,47,0,0
PAP20200930-03,16,82,11,56,,82,56,0,0
PAP20200930-03,15,79,9,43,,79,43,0,0
PAP20200930-03,7,34,11,60,,34,60,0,0
PAP20200930-03,16,83,12,63,,83,63,0,0
PAP20200930-03,15,82,9,51,,82,51,0,0
PAP20200930-03,13,74,,,,74,,0,0
PAP20200930-03,14,75,,,,75,,0,0
PAP20200930-03,8,42,,,,42,,0,0
PAP20200930-03,15,83,,,,83,,0,0
PAP20200930-03,9,49,,,,49,,0,0
PAP20200930-03,15,87,,,,87,,0,0
PAP20200930-07,16,80,13,61,,80,61,0,0
PAP20200930-07,11,60,11,55,,60,55,0,0
PAP20200930-07,16,87,8,25,,87,25,0,0
PAP20200930-07,14,78,8,35,,78,35,0,0
PAP20200930-07,15,85,5,29,,85,29,0,0
PAP20200930-07,12,74,6,29,,74,29,0,0
PAP20200930-07,9,46,,,,46,,0,0
PAP20200930-07,10,55,,,,55,,0,0
PAP20200930-07,7,41,,,,41,,0,0
PAP20200930-07,7,38,,,,38,,0,0
PAP20200930-07,6,35,,,,35,,0,0
PAP20200930-07,7,42,,,,42,,0,0
PAP20200930-07,5,32,,,,32,,0,0
PAP20200930-07,5,31,,,,31,,0,0
PAP20200930-08,6,39,10,51,,39,51,0,0
PAP20200930-08,14,91,11,58,,91,58,0,0
PAP20200930-08,14,84,9,47,,84,47,0,0
PAP20200930-08,7,41,11,54,,41,54,0,0
PAP20200930-08,13,71,10,48,,71,48,0,0
PAP20200930-08,16,93,7,31,,93,31,0,0
PAP20200930-08,12,79,14,64,,79,64,0,0
PAP20200930-08,20,99,9,51,,99,51,0,0
PAP20200930-08,5,34,8,44,,34,44,0,0
PAP20200930-08,13,70,6,34,,70,34,0,0
PAP20200930-08,17,90,6,32,,90,32,0,0
PAP20200930-08,13,80,11,50,,80,50,0,0
PAP20200930-08,7,35,8,47,,35,47,0,0
PAP20200930-08,8,46,9,50,,46,50,0,0
PAP20200930-08,18,71,7,43,,71,43,0,0
PAP20200930-08,13,77,9,45,,77,45,0,0
PAP20200930-08,11,71,10,49,,71,49,0,0
PAP20200930-08,10,56,12,54,,56,54,0,0
PAP20200930-08,11,70,9,52,,70,52,0,0
